id,name,category,website_hint,summary,auth_methods,credential_access,api_types,api_breadth,existing_mcp,buildability,main_blocker,confidence,research_status,notes,evidence
11,Zendesk,Support and Helpdesk,zendesk.com,Customer support and ticketing software.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""yes""}","[""rest""]",broad,third_party,outreach_needed,"Requires formal partner program application, enterprise sales contact, or vendor agreement.",low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Zendesk supports oauth2, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.zendesk.com/api-reference/"", ""quote"": ""Zendesk supports OAuth 2.0 and API token authentication."", ""retrieved_at"": ""2026-09-24T19:12:19.799467+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.zendesk.com/api-reference/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Zendesk API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:19.799467+00:00""}]"
12,Intercom,Support and Helpdesk,intercom.com,Customer service platform with AI chatbots and messaging.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Intercom supports oauth2, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/"", ""quote"": ""Intercom supports Access Tokens and OAuth for app authentication."", ""retrieved_at"": ""2026-09-24T19:12:20.623514+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Intercom API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:20.623514+00:00""}]"
13,Freshdesk,Support and Helpdesk,freshdesk.com,Cloud-based customer support software by Freshworks.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Freshdesk supports api key, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.freshdesk.com/api/#authentication"", ""quote"": ""Freshdesk API uses Basic Authentication with your API key as the username."", ""retrieved_at"": ""2026-09-24T19:12:22.419002+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.freshdesk.com/api/#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Freshdesk API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:22.419002+00:00""}]"
14,Front,Support and Helpdesk,front.com,Customer operations and collaborative shared inbox platform.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Front supports api key, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://dev.frontapp.com/docs/authentication"", ""quote"": ""Front supports JSON Web Tokens (JWT) and API tokens for authentication."", ""retrieved_at"": ""2026-09-24T19:12:22.788804+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://dev.frontapp.com/docs/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Front API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:22.788804+00:00""}]"
15,Pylon,Support and Helpdesk,usepylon.com,Modern customer operations platform for B2B support.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Pylon supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.usepylon.com/reference/authentication"", ""quote"": ""Authenticate your requests by including your API key in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:12:23.070483+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.usepylon.com/reference/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Pylon API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:23.070483+00:00""}]"
16,LiveAgent,Support and Helpdesk,liveagent.com,"Helpdesk software with live chat, ticketing, and call center.","[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""LiveAgent supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://liveagent.com/api/"", ""quote"": ""LiveAgent provides REST API v3 using API key authentication in the apikey header."", ""retrieved_at"": ""2026-09-24T19:12:23.875155+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://liveagent.com/api/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate LiveAgent API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:23.875155+00:00""}]"
17,Plain,Support and Helpdesk,plain.com,B2B customer service platform built for engineering teams.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""graphql""]",focused,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Plain supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://plain.com/docs/api-reference"", ""quote"": ""Plain provides a GraphQL API authenticated via Bearer API keys."", ""retrieved_at"": ""2026-09-24T19:12:24.343981+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://plain.com/docs/api-reference"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Plain API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:24.343981+00:00""}]"
18,Help Scout,Support and Helpdesk,helpscout.com,Help desk and customer communication platform.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Help Scout supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.helpscout.com/mailbox-api/overview/authentication/"", ""quote"": ""Help Scout Mailbox API 2.0 uses OAuth 2.0 Client Credentials and Authorization Code flows."", ""retrieved_at"": ""2026-09-24T19:12:24.764549+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.helpscout.com/mailbox-api/overview/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Help Scout API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:24.764549+00:00""}]"
19,Gorgias,Support and Helpdesk,gorgias.com,Ecommerce-specialized customer service and ticketing desk.,"[""api_key"", ""basic""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Gorgias supports api key, basic authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.gorgias.com/reference/authentication"", ""quote"": ""Gorgias API uses HTTP Basic Authentication with username email and password API key."", ""retrieved_at"": ""2026-09-24T19:12:25.165176+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.gorgias.com/reference/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Gorgias API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:25.165176+00:00""}]"
20,Gladly,Support and Helpdesk,gladly.com,People-centered customer service platform for enterprise retail.,"[""api_key"", ""basic""]","{""self_serve_signup"": ""no"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,conditional,Enterprise platform requiring contract and vendor partner access.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Gladly supports api key, basic authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.gladly.com/rest/"", ""quote"": ""Gladly API requires provisioned API user credentials from an enterprise Gladly instance."", ""retrieved_at"": ""2026-09-24T19:12:26.013871+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=no, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.gladly.com/rest/"", ""quote"": ""Access to Gladly API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:12:26.013871+00:00""}]"
21,Slack,Communications and Messaging,slack.com,Team collaboration and workspace messaging platform.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Slack supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://api.slack.com/authentication"", ""quote"": ""Slack apps use OAuth 2.0 and bot user access tokens (xoxb-)."", ""retrieved_at"": ""2026-09-24T19:12:26.608188+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://api.slack.com/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Slack API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:26.608188+00:00""}]"
22,Twilio,Communications and Messaging,twilio.com,"Cloud communications platform for SMS, voice, and video.","[""api_key"", ""basic""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Twilio supports api key, basic authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.twilio.com/docs/iam/api-keys"", ""quote"": ""Twilio authenticates API requests using HTTP Basic Auth with Account SID and Auth Token or API Keys."", ""retrieved_at"": ""2026-09-24T19:12:27.540597+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.twilio.com/docs/iam/api-keys"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Twilio API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:27.540597+00:00""}]"
23,Zoho Cliq,Communications and Messaging,zoho.com/cliq,Business communication and chat software.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Zoho Cliq supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.zoho.com/cliq/help/restapi/v2/"", ""quote"": ""Zoho Cliq REST API uses OAuth 2.0 authorization."", ""retrieved_at"": ""2026-09-24T19:12:28.903955+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.zoho.com/cliq/help/restapi/v2/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Zoho Cliq API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:28.903955+00:00""}]"
24,Lark (Larksuite),Communications and Messaging,open.larksuite.com,Enterprise enterprise collaboration suite by ByteDance.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Lark (Larksuite) supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://open.larksuite.com/document/ukTMukTMukTM/uITNz4iM1MjLzUzM"", ""quote"": ""Lark Open Platform uses tenant_access_token and user_access_token."", ""retrieved_at"": ""2026-09-24T19:12:29.956465+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://open.larksuite.com/document/ukTMukTMukTM/uITNz4iM1MjLzUzM"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Lark (Larksuite) API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:29.956465+00:00""}]"
25,Pumble,Communications and Messaging,pumble.com,Team chat and messaging application.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Pumble supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://pumble.com/help/integrations/custom-integrations/"", ""quote"": ""Pumble supports bot tokens and incoming webhooks for custom integrations."", ""retrieved_at"": ""2026-09-24T19:12:30.130491+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://pumble.com/help/integrations/custom-integrations/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Pumble API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:30.130491+00:00""}]"
26,Discord,Communications and Messaging,discord.com,"Voice, video, and text communication service.","[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Discord supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://discord.com/developers/docs/reference#authentication"", ""quote"": ""Discord requires a Bot token or OAuth2 Bearer token in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:12:31.655429+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://discord.com/developers/docs/reference#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Discord API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:31.655429+00:00""}]"
27,Telegram,Communications and Messaging,core.telegram.org,Cloud-based mobile and desktop messaging app.,"[""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Telegram supports token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://core.telegram.org/bots/api#authorizing-your-bot"", ""quote"": ""All queries to the Telegram Bot API must be served over HTTPS and need an authentication token."", ""retrieved_at"": ""2026-09-24T19:12:31.825071+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://core.telegram.org/bots/api#authorizing-your-bot"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Telegram API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:31.825071+00:00""}]"
28,WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp,Business messaging platform for customer engagement.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""WhatsApp Business supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/whatsapp/cloud-api/get-started"", ""quote"": ""WhatsApp Cloud API uses Meta System User Access Tokens via Graph API."", ""retrieved_at"": ""2026-09-24T19:12:32.664552+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/whatsapp/cloud-api/get-started"", ""quote"": ""Developers can sign up for a free developer account or trial to generate WhatsApp Business API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:32.664552+00:00""}]"
29,Aircall,Communications and Messaging,aircall.io,Cloud-based call center and phone system.,"[""api_key"", ""basic""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Aircall supports api key, basic authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.aircall.io/api-references/#authentication"", ""quote"": ""Aircall API authenticates requests using HTTP Basic Authentication with API ID and API Token."", ""retrieved_at"": ""2026-09-24T19:12:33.138112+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.aircall.io/api-references/#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Aircall API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:33.138112+00:00""}]"
